case_id,use_case,expected_title,search_query,metadata_filter_applied,rag_score,passed,accuracy,rank,avg_distance,best_distance,top_distance,avg_rerank_score,top_rerank_score,best_rerank_score,faithfulness,answer_relevance,context_relevance,semantic_context_precision,semantic_context_recall,semantic_retrieval_hit,semantic_retrieval_top1,semantic_retrieval_rank,semantic_reciprocal_rank,context_precision,context_recall,exact_title_precision,exact_title_recall,exact_match,reference_title_retrieved,hallucination_detected,uses_correct_context,wrong_context,expected_title_mentioned,generation_error,judge_error
case-022,genre_rating,Encanto,Recommend an Animation movie with a strong IMDb rating.,True,0.9666666666666667,True,5,,0.4889639616012573,0.44719672203063965,0.5103729963302612,1.0555234909057618,1.332951545715332,1.332951545715332,5,5,5,4,5,True,True,1,1.0,0.8,1.0,0.0,0.0,False,False,False,True,False,False,,
case-023,director_year,Elf,Suggest movies like an Adventure film around 2003.,True,1.0,True,5,1,0.5486425161361694,0.5095417499542236,0.6010571718215942,3.2725183725357057,5.762838840484619,5.762838840484619,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,True,True,False,True,False,True,,
case-024,actor_genre,De apparatspott,Find a Sci-Fi movie with actors like Thomas Baier.,True,1.0,True,5,1,0.6344029903411865,0.6032878160476685,0.6032878160476685,3.4014902909596763,3.9069957733154297,3.9069957733154297,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.3333333333333333,1.0,True,True,False,True,False,True,,
case-025,duration_certificate,The Mummy,Recommend an Action movie rated PG-13 and around two hours or less.,True,1.0,True,5,,0.5313861846923829,0.5091314315795898,0.5384825468063354,1.4317968010902404,3.0608692169189453,3.0608692169189453,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,False,True,False,False,,
case-026,multi_constraint,Son of Rambow,"Find an Action, Adventure, Comedy movie from around 2007, with a strong IMDb rating.",True,1.0,True,5,1,0.5825698375701904,0.5825698375701904,0.5825698375701904,6.188236236572266,6.188236236572266,6.188236236572266,5,5,5,5,5,True,True,1,1.0,1.0,1.0,1.0,1.0,True,True,False,True,False,True,,
case-027,vague_preference,Thumbelina,Recommend an Animation movie from the 1994 period.,True,1.0,True,5,3,0.5687932252883912,0.527259111404419,0.5924199819564819,-1.8639406561851501,-0.43827158212661743,-0.43827158212661743,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,False,True,False,True,False,False,,
case-028,out_of_scope,Zoom,Recommend a movie about quantum cooking competitions with verified plot details.,False,0.6333333333333333,False,5,,0.5423059463500977,0.4970123767852783,0.5014501810073853,-9.043991470336914,-7.973634719848633,-7.973634719848633,5,5,2,1,1,False,False,,0.0,0.2,0.2,0.0,0.0,False,False,False,True,False,False,,
case-029,genre_rating,My Enemy's Enemy,Recommend a Documentary movie with a strong IMDb rating.,True,1.0,True,5,,0.5370810031890869,0.5067685842514038,0.5502431988716125,2.289671468734741,2.8174550533294678,2.8174550533294678,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,False,True,False,False,,
case-030,director_year,Argo,Suggest movies like a Biography film around 2012.,True,0.9333333333333332,True,5,1,0.6266303777694702,0.6062793135643005,0.6316101551055908,3.947519540786743,6.770461559295654,6.770461559295654,5,5,4,4,5,True,True,1,1.0,0.8,1.0,0.2,1.0,True,True,False,True,False,True,,
case-031,actor_genre,In Dubious Battle,Find a Crime movie with actors similar to Nat Wolff.,True,1.0,True,5,1,0.6630638837814331,0.6630638837814331,0.6630638837814331,3.6658926010131836,3.6658926010131836,3.6658926010131836,5,5,5,5,5,True,True,1,1.0,1.0,1.0,1.0,1.0,True,True,False,True,False,True,,
case-032,duration_certificate,Madagascar,Recommend an Animation movie with a rating of PG and a duration under 90 minutes.,True,0.5666666666666667,False,2,,0.5085911393165589,0.4603949785232544,0.4603949785232544,2.814151573181152,3.575348138809204,3.575348138809204,3,3,3,2,4,True,False,5,0.2,0.4,0.8,0.0,0.0,False,False,False,True,False,False,,
case-033,multi_constraint,Secret Society of Second Born Royals,"Find a Action, Adventure, Comedy movie from around 2020, with a lower IMDb rating",True,0.9333333333333332,True,5,1,0.6608211874961853,0.5985734462738037,0.7366058826446533,2.023620069026947,5.9010138511657715,5.9010138511657715,5,5,4,4,5,True,True,1,1.0,0.8,1.0,0.2,1.0,True,True,False,True,False,True,,
case-034,vague_preference,Flubber,Recommend a Comedy movie from the 1997 period.,True,0.8333333333333334,False,4,,0.6069677591323852,0.5847446918487549,0.5847446918487549,-2.1647331714630127,-2.02000093460083,-2.02000093460083,2,4,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,True,False,True,False,,
case-035,out_of_scope,The Extraordinary Adventures of Adèle Blanc-Sec,Recommend a movie about quantum cooking competitions with verified plot details.,False,0.6,False,5,,0.5423059463500977,0.4970123767852783,0.5014501810073853,-9.043991470336914,-7.973634719848633,-7.973634719848633,5,5,1,1,1,False,False,,0.0,0.2,0.2,0.0,0.0,False,False,False,True,False,False,,
case-036,genre_rating,Savannah,Recommend an Action movie with a moderate IMDb rating.,True,0.7999999999999999,True,2,,0.5029678821563721,0.45270776748657227,0.5148022174835205,0.6251000583171844,0.9651578664779663,0.9651578664779663,5,3,5,4,5,True,True,1,1.0,0.8,1.0,0.0,0.0,False,False,False,True,False,False,,
case-037,director_year,Ice Princess,Suggest movies like a Comedy film around 2005.,True,0.9333333333333332,True,4,1,0.6378689408302307,0.5570719242095947,0.7065585851669312,2.476181697845459,5.263069152832031,5.263069152832031,5,4,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,True,True,False,True,False,True,,
case-038,actor_genre,Stars in My Crown,Find a Family movie with actors like Joel McHale.,False,0.5333333333333333,False,2,,0.5573552966117858,0.5205732583999634,0.558002769947052,-3.18877854347229,-2.034630298614502,-2.034630298614502,3,3,3,3,2,True,True,1,1.0,0.6,0.4,0.0,0.0,False,False,True,True,False,False,,
case-039,duration_certificate,Capote,Recommend a Biography movie rated R and around two hours or less.,True,1.0,True,5,,0.49432495832443235,0.42670243978500366,0.5107547044754028,1.4613803029060364,2.6154205799102783,2.6154205799102783,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,False,True,False,False,,
case-040,multi_constraint,In a Violent Nature,"Find a Drama movie from around 2024, with a lower IMDb rating",True,1.0,True,5,1,0.6221122145652771,0.5918256044387817,0.5918256044387817,2.9857383251190184,5.7713541984558105,5.7713541984558105,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,True,True,False,True,False,True,,
case-041,vague_preference,Bizarre: A Circus Story,Recommend something similar in profile to a Documentary movie from the 2016 period.,True,1.0,True,5,,0.6624212861061096,0.6092510223388672,0.6443589925765991,-1.0369338065385818,0.05400608479976654,0.05400608479976654,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,False,True,False,False,,
case-042,out_of_scope,DuckTales the Movie: Treasure of the Lost Lamp,Recommend a movie about quantum cooking competitions with verified plot details.,False,0.6,False,5,,0.5423059463500977,0.4970123767852783,0.5014501810073853,-9.043991470336914,-7.973634719848633,-7.973634719848633,5,5,1,1,1,False,False,,0.0,0.2,0.2,0.0,0.0,False,False,False,True,False,False,,
case-043,genre_rating,Mickey Reece's Alien,Recommend a Comedy movie with a moderate IMDb rating.,True,0.7000000000000001,False,3,,0.5293214440345764,0.5199931859970093,0.541576623916626,0.740387088060379,1.4092776775360107,1.4092776775360107,2,3,4,4,5,True,True,1,1.0,0.8,1.0,0.0,0.0,False,False,True,True,False,False,,
case-044,director_year,Your Name.,Suggest movies like an Animation film around 2016.,True,0.8333333333333334,True,3,1,0.6198171854019165,0.558426558971405,0.6355758905410767,2.2024886429309847,6.738434791564941,6.738434791564941,5,3,5,4,5,True,True,1,1.0,0.8,1.0,0.2,1.0,False,True,False,True,False,False,,
case-045,actor_genre,Zapata,Find an Action movie with Antonio Aguilar or similar cast.,True,1.0,True,5,1,0.5504993200302124,0.5504993200302124,0.5504993200302124,2.765049934387207,2.765049934387207,2.765049934387207,5,5,5,5,5,True,True,1,1.0,1.0,1.0,1.0,1.0,True,True,False,True,False,True,,
case-046,duration_certificate,Why We Fight,Recommend a Documentary movie rated PG-13 and around two hours or less.,True,1.0,True,5,,0.5552097678184509,0.5153688192367554,0.5724813342094421,1.7524822235107422,1.8307729959487915,1.8307729959487915,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,False,True,False,False,,
case-047,multi_constraint,Animal,"Find an Action movie from around 2023, with a moderate IMDb rating.",True,0.7333333333333334,False,4,,0.5274787187576294,0.450134813785553,0.5748310685157776,3.3049482345581054,3.4924206733703613,3.4924206733703613,2,4,4,4,4,True,False,2,0.5,0.8,0.8,0.0,0.0,False,False,True,True,False,False,,
case-048,vague_preference,American Underdog,Recommend something similar in profile to a Biography movie from the 2021 period.,True,1.0,True,5,,0.7143852710723877,0.664374828338623,0.6708981990814209,0.8120646238327026,1.0582255125045776,1.0582255125045776,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,False,True,False,False,,
case-049,out_of_scope,The Karate Kid Part III,Recommend a movie about quantum cooking competitions with verified plot details.,False,0.6,False,5,,0.5423059463500977,0.4970123767852783,0.5014501810073853,-9.043991470336914,-7.973634719848633,-7.973634719848633,5,5,1,1,1,False,False,,0.0,0.2,0.2,0.0,0.0,False,False,False,True,False,False,,
case-050,genre_rating,Trouble,Recommend an Animation movie with a lower IMDb rating.,True,0.8666666666666667,True,5,,0.5169840097427368,0.499689519405365,0.5205291509628296,0.7611409902572632,1.779802680015564,1.779802680015564,5,5,4,3,4,True,True,1,1.0,0.6,0.8,0.0,0.0,False,False,False,True,False,False,,
case-051,director_year,The Day the Earth Blew Up: A Looney Tunes Movie,Suggest movies like an Animation film around 2024.,True,0.9666666666666667,True,5,1,0.577651047706604,0.48949456214904785,0.5822739601135254,4.077000665664673,6.618806838989258,6.618806838989258,5,5,5,4,5,True,True,1,1.0,0.8,1.0,0.2,1.0,True,True,False,True,False,True,,
case-052,actor_genre,Snowden,I want a Biography movie with actors like Kieran Fitzgerald.,True,1.0,True,5,1,0.73338383436203,0.73338383436203,0.73338383436203,3.773642063140869,3.773642063140869,3.773642063140869,5,5,5,5,5,True,True,1,1.0,1.0,1.0,1.0,1.0,True,True,False,True,False,True,,
case-053,duration_certificate,Madame Web,Recommend an Action movie rated PG-13 and around two hours or less.,True,1.0,True,5,,0.5313861846923829,0.5091314315795898,0.5384825468063354,1.4317968010902404,3.0608692169189453,3.0608692169189453,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,False,True,False,False,,
case-054,multi_constraint,The Lego Movie 2: The Second Part,"Find an Animation, Action, or Adventure movie from around 2019 with a moderate IMDb rating.",True,1.0,True,5,1,0.5792630314826965,0.5344270467758179,0.5497345328330994,4.014384984970093,6.013018608093262,6.013018608093262,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,True,True,False,True,False,True,,
case-055,vague_preference,Once Upon a Time... in Hollywood,Recommend something similar in profile to a Comedy movie from the 2019 period.,True,0.9333333333333332,True,4,1,0.6454840302467346,0.5883346796035767,0.6313223242759705,-0.8783612042665482,0.11451636254787445,0.11451636254787445,5,4,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,False,True,False,True,False,False,,
case-056,out_of_scope,TL-2: La felicidad es una leyenda urbana,Recommend a movie about quantum cooking competitions with verified plot details.,False,0.6,False,5,,0.5423059463500977,0.4970123767852783,0.5014501810073853,-9.043991470336914,-7.973634719848633,-7.973634719848633,5,5,1,1,1,False,False,,0.0,0.2,0.2,0.0,0.0,False,False,False,True,False,False,,
case-057,genre_rating,Lost in Space,Recommend an Action movie with a lower IMDb rating.,True,0.9666666666666667,True,5,,0.5377862095832825,0.5327315330505371,0.5432183742523193,0.3149975180625916,0.4239563047885895,0.4239563047885895,5,5,5,5,4,True,True,1,1.0,1.0,0.8,0.0,0.0,False,False,False,True,False,False,,
case-058,director_year,Sting,Suggest movies like a Horror film around 2024.,True,1.0,True,5,1,0.5986448526382446,0.5159351825714111,0.6441370844841003,3.421997880935669,7.062482833862305,7.062482833862305,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,True,True,False,True,False,True,,
case-059,actor_genre,A Quiet Place: Day One,Find a Drama movie with actors like Michael Sarnoski.,True,0.9666666666666667,True,5,1,0.7321786880493164,0.7321786880493164,0.7321786880493164,4.805422782897949,4.805422782897949,4.805422782897949,5,5,5,5,4,True,True,1,1.0,1.0,0.8,1.0,1.0,True,True,False,True,False,True,,
case-060,duration_certificate,De-Lovely,Recommend a Biography movie rated PG-13 and longer than two hours.,True,0.9666666666666667,True,5,,0.48771231174468993,0.41546839475631714,0.536266565322876,3.054772472381592,3.2356619834899902,3.2356619834899902,5,4,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,False,True,False,False,,
case-061,multi_constraint,Algeny: The Genetic Factor,Find a Sci-Fi movie released around 2007 with a lower IMDb rating.,True,0.6333333333333333,False,1,1,0.5994072079658508,0.5784064531326294,0.6517165899276733,1.6129034757614136,4.559565544128418,4.559565544128418,1,2,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,True,True,True,False,True,True,,
case-062,vague_preference,"Jabondang seoneon: Mangukui nodongjayeo, chukcheothara!",Recommend something similar in profile to a Drama movie from the 2003 period.,True,0.9333333333333332,True,4,3,0.6176375150680542,0.5958365201950073,0.6369258761405945,-2.952756404876709,-2.607994794845581,-2.607994794845581,5,4,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,False,True,False,True,False,False,,
case-063,out_of_scope,Dolemite Is My Name,Recommend a movie about quantum cooking competitions with verified plot details.,False,0.6,False,5,,0.5423059463500977,0.4970123767852783,0.5014501810073853,-9.043991470336914,-7.973634719848633,-7.973634719848633,5,5,1,1,1,False,False,,0.0,0.2,0.2,0.0,0.0,False,False,False,True,False,False,,
case-064,genre_rating,The Formulation of Rectangles,Recommend a Comedy movie with a moderate IMDb rating.,True,0.7333333333333334,True,4,,0.5293214440345764,0.5199931859970093,0.541576623916626,0.740387088060379,1.4092776775360107,1.4092776775360107,3,4,4,3,4,True,True,1,1.0,0.6,0.8,0.0,0.0,False,False,False,True,False,False,,
case-065,director_year,Six-Hundred & Sixty Six,Suggest movies like a Drama film around 1972.,True,0.9666666666666667,True,5,1,0.5750441789627075,0.5337964296340942,0.5361559391021729,2.385783576965332,6.5785932540893555,6.5785932540893555,5,5,5,4,5,True,True,1,1.0,0.8,1.0,0.2,1.0,True,True,False,True,False,True,,
case-066,actor_genre,James and the Giant Peach,Find an Animation movie with Paul Terry or a similar cast profile.,True,1.0,True,5,1,0.6751440763473511,0.6751440763473511,0.6751440763473511,2.2102065086364746,2.2102065086364746,2.2102065086364746,5,5,5,5,5,True,True,1,1.0,1.0,1.0,1.0,1.0,True,True,False,True,False,True,,
case-067,duration_certificate,Dream Scenario,Recommend a Comedy movie rated R and around two hours or less.,True,1.0,True,5,,0.584047544002533,0.5668789744377136,0.6067376136779785,-0.34596726298332214,0.5106362104415894,0.5106362104415894,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.0,0.0,False,False,False,True,False,False,,
case-068,multi_constraint,The Secret Children,Find a Sci-Fi movie from around 2014 with a lower IMDb rating,True,1.0,True,5,1,0.6013523578643799,0.5524771809577942,0.6448347568511963,1.1399455845355988,5.553865432739258,5.553865432739258,5,5,5,5,5,True,True,1,1.0,1.0,1.0,0.2,1.0,True,True,False,True,False,True,,
case-069,vague_preference,Noelle,Recommend something similar in profile to a Comedy movie from the 2019 period.,True,0.8333333333333334,True,4,,0.6454840302467346,0.5883346796035767,0.6313223242759705,-0.8783612042665482,0.11451636254787445,0.11451636254787445,3,4,5,5,4,True,True,1,1.0,1.0,0.8,0.0,0.0,False,False,False,True,False,False,,
case-070,out_of_scope,"Girl, Interrupted",Recommend a movie about quantum cooking competitions with verified plot details.,False,0.6333333333333333,False,5,,0.5423059463500977,0.4970123767852783,0.5014501810073853,-9.043991470336914,-7.973634719848633,-7.973634719848633,5,5,2,1,1,False,False,,0.0,0.2,0.2,0.0,0.0,False,False,False,True,False,False,,
