source_row_id,Title,IMDb Rating,Year,Certificates,Director,Star Cast,MetaScore,Duration (minutes),Poster-src,Genres
23,Teenage Mutant Ninja Turtles: Mutant Mayhem,7.2,2023,PG,Jeff Rowe,Micah Abbey,74.0,99.0,"https://m.media-amazon.com/images/M/MV5BYzE4MTllZTktMTIyZS00Yzg1LTg1YzAtMWQwZTZkNjNkODNjXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
24,Kung Fu Panda,7.6,2008,PG,Mark Osborne,Jack Black,74.0,92.0,"https://m.media-amazon.com/images/M/MV5BODJkZTZhMWItMDI3Yy00ZWZlLTk4NjQtOTI1ZjU5NjBjZTVjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY281_CR2,0,190,281_.jpg",Animation
25,Mars Express,7.5,2023,Not Rated,Jérémie Périn,"Léa Drucker,Mathieu Amalric,Daniel Njo,Lobé",76.0,88.0,No Poster Available,Animation
26,Your Name.,8.4,2016,R,Makoto Shinkai,"Makoto Shinkai,Clark Cheng",81.0,116.3,No Poster Available,Animation
27,The Lord of the Rings: The War of the Rohirrim,7.1,2024,R,Kenji Kamiyama,"Jeffrey Addiss,Phoebe Gittins,Will Matthews",66.9,116.3,No Poster Available,Animation
28,Taxi Driver,8.2,1976,R,Martin Scorsese,"Robert De,Niro Jodie,Foster Cybill,Shepherd",94.0,114.0,No Poster Available,Crime
29,Kill Bill: Vol. 1,8.2,2003,R,Quentin Tarantino,"Quentin Tarantino,Uma Thurman",69.0,111.0,No Poster Available,Action
30,We're the Millers,7.0,2013,R,Rawson Marshall Thurber,"Bob Fisher,Steve,Faber Sean,Anders",44.0,110.0,No Poster Available,Comedy
31,The Green Mile,8.6,1999,R,Frank Darabont,"Tom Hanks,Michael Clarke,Duncan David,Morse",61.0,189.0,No Poster Available,Crime
32,Animal,6.2,2023,Not Rated,Sandeep Reddy Vanga,"Suresh Bandaru,Saurabh Gupta,Pranay Reddy,Vanga",33.0,204.0,No Poster Available,Action
33,Prisoners,8.2,2013,R,Denis Villeneuve,"Hugh Jackman,Jake Gyllenhaal,Viola Davis",70.0,153.0,No Poster Available,Crime
34,12 Angry Men,9.0,1957,Approved,Sidney Lumet,Reginald Rose,97.0,96.0,No Poster Available,Crime
35,Joker,8.4,2019,R,Todd Phillips,"Todd Phillips,Scott Silver,Bob Kane",59.0,122.0,No Poster Available,Crime
36,Sicario,7.7,2015,R,Denis Villeneuve,"Emily Blunt,Josh Brolin,Benicio Del,Toro",82.0,121.0,No Poster Available,Action
37,Baby Driver,7.5,2017,R,Edgar Wright,"Ansel Elgort,Jon Bernthal,Jon Hamm",86.0,113.0,No Poster Available,Action
38,Léon: The Professional,8.5,1994,R,Luc Besson,"Jean Reno,Gary Oldman,Natalie Portman",64.0,110.0,No Poster Available,Action
39,In the Land of Saints and Sinners,6.3,2023,R,Robert Lorenz,"Kerry Condon,Desmond Eastwood,Conor Mac,Neill",60.0,106.0,No Poster Available,Action
40,The Equalizer,7.2,2014,R,Antoine Fuqua,"Denzel Washington,Marton Csokas,Chloë Grace,Moretz",57.0,132.0,No Poster Available,Action
41,The Equalizer 3,6.8,2023,R,Antoine Fuqua,"Denzel Washington,Dakota Fanning,Eugenio Mastrandrea",58.0,109.0,No Poster Available,Action
42,Wicked Little Letters,7.0,2023,R,Thea Sharrock,"Jessie Buckley,Olivia Colman,Timothy Spall",58.0,100.0,No Poster Available,Comedy
43,Beverly Hills Cop,7.4,1984,R,Martin Brest,"Daniel Petrie,Jr.Danilo Bach",66.0,105.0,No Poster Available,Action
44,The Silence of the Lambs,8.6,1991,R,Jonathan Demme,"Jodie Foster,Anthony Hopkins,Scott Glenn",86.0,118.0,No Poster Available,Crime
45,Heat,8.3,1995,R,Michael Mann,"Al Pacino,Robert De,Niro Val,Kilmer",76.0,170.0,No Poster Available,Action
46,No Country for Old Men,8.2,2007,R,Ethan Coen,"Tommy Lee,Jones Javier,Bardem Josh,Brolin",92.0,122.0,No Poster Available,Crime
47,Se7en,8.6,1995,R,David Fincher,"Morgan Freeman,Brad Pitt,Kevin Spacey",65.0,127.0,No Poster Available,Crime
48,John Wick: Chapter 4,7.7,2023,R,Chad Stahelski,"Keanu Reeves,Laurence Fishburne,George Georgiou",78.0,169.0,No Poster Available,Action
49,The Talented Mr. Ripley,7.4,1999,R,Anthony Minghella,"Matt Damon,Gwyneth Paltrow,Jude Law",76.0,139.0,No Poster Available,Crime
50,The Outsiders,7.0,1983,PG,Francis Ford Coppola,"C.,Thomas Howell,Matt Dillon,Ralph Macchio",45.0,91.0,No Poster Available,Crime
51,The Departed,8.5,2006,R,Martin Scorsese,"Leonardo Di,Caprio Matt,Damon Jack,Nicholson",85.0,151.0,No Poster Available,Crime
52,Goodfellas,8.7,1990,R,Martin Scorsese,"Nicholas Pileggi,Martin Scorsese",92.0,145.0,No Poster Available,Biography
53,The Batman,7.8,2022,PG-13,Matt Reeves,"Matt Reeves,Peter Craig,Bob Kane",72.0,176.0,No Poster Available,Action
54,The Courier,7.2,2020,PG-13,Dominic Cooke,"Benedict Cumberbatch,Merab Ninidze,Rachel Brosnahan",65.0,112.0,No Poster Available,Drama
55,The Dark Knight,9.0,2008,PG-13,Christopher Nolan,"Jonathan Nolan,Christopher Nolan,David,S.,Goyer",84.0,152.0,No Poster Available,Action
56,Killers of the Flower Moon,7.6,2023,R,Martin Scorsese,"Leonardo Di,Caprio Robert,De Niro,Lily Gladstone",89.0,206.0,No Poster Available,Crime
57,Pulp Fiction,8.9,1994,R,Quentin Tarantino,"Quentin Tarantino,Roger Avary",95.0,154.0,No Poster Available,Crime
58,The Bikeriders,7.5,2023,R,Jeff Nichols,"Jodie Comer,Austin Butler,Tom Hardy",73.0,116.0,No Poster Available,Crime
59,The Godfather,9.2,1972,R,Francis Ford Coppola,"Mario Puzo,Francis Ford,Coppola",100.0,175.0,No Poster Available,Crime
60,The Gentlemen,7.8,2019,R,Guy Ritchie,"Guy Ritchie,Ivan Atkinson,Marn Davies",51.0,113.0,No Poster Available,Action
61,Monster,4.6,2023,TV-MA,Rako Prijanto,"Marsha Timothy,Alex Abbad,Anantya Kirana",66.0,86.0,No Poster Available,Horror
62,Glass,6.6,2019,PG-13,M. Night Shyamalan,"M.,Night Shyamalan",43.0,129.0,No Poster Available,Drama
63,Lisa Frankenstein,6.1,2024,PG-13,Zelda Williams,"Kathryn Newton,Liza Soberano,Jenna Davis",47.0,101.0,No Poster Available,Comedy
64,It,7.3,2017,R,Andy Muschietti,"Chase Palmer,Cary Joji,Fukunaga Gary,Dauberman",69.0,135.0,No Poster Available,Fantasy
65,Smile,6.5,2022,R,Parker Finn,"Sosie Bacon,Jessie,T.,Usher Kyle,Gallner",68.0,115.0,No Poster Available,Horror
66,The Dead Don't Die,5.5,2019,R,Jim Jarmusch,"Bill Murray,Adam Driver,Tilda Swinton",53.0,104.0,No Poster Available,Comedy
67,Nosferatu,6.9,2024,R,Robert Eggers,"Aaron,Taylor-Johnson Bill,Skarsgård Nicholas,Hoult",66.0,116.3,No Poster Available,Fantasy
68,A Serbian Film,5.0,2010,NC-17,Srdjan Spasojevic,"Srdjan,'Zika',Todorovic Sergej,Trifunovic Jelena,Gavrilovic",66.0,104.0,No Poster Available,Horror
69,Mandy,6.5,2018,Not Rated,Panos Cosmatos,"Panos Cosmatos,Aaron,Stewart-Ahn Casper,Kelly",83.0,121.0,No Poster Available,Action
70,The Prodigy,5.9,2019,R,Nicholas McCarthy,"Taylor Schilling,Jackson Robert,Scott Peter,Mooney",45.0,92.0,No Poster Available,Fantasy
71,Split,6.0,1974,R,Roger Lambert,"Mark Draisey,Steve Reader,Madeline Aitken",66.0,116.3,No Poster Available,Drama
72,The Menu,7.2,2022,R,Mark Mylod,"Ralph Fiennes,Anya,Taylor-Joy Nicholas,Hoult",71.0,107.0,No Poster Available,Comedy
73,Nope,6.8,2022,R,Jordan Peele,"Daniel Kaluuya,Keke Palmer,Brandon Perea",77.0,130.0,No Poster Available,Horror
74,Five Nights at Freddy's,5.5,2023,PG-13,Emma Tammi,"Scott Cawthon,Seth Cuddeback,Emma Tammi",33.0,109.0,No Poster Available,Horror
75,The First Omen,6.7,2024,R,Arkasha Stevenson,"Tim Smith,Arkasha Stevenson,Keith Thomas",65.0,119.0,No Poster Available,Horror
76,Midsommar,7.1,2019,R,Ari Aster,"Florence Pugh,Jack Reynor,Vilhelm Blomgren",72.0,148.0,No Poster Available,Drama
77,The Killing of a Sacred Deer,7.0,2017,R,Yorgos Lanthimos,"Barry,G.,Bernson Herb,Caillouet Bill,Camp",73.0,121.0,No Poster Available,Drama
78,Talk to Me,7.3,2007,R,Kasi Lemmons,"Michael Genet,Rick Famuyiwa",69.0,118.0,No Poster Available,Biography
79,Hereditary,7.3,2018,R,Ari Aster,"Toni Collette,Milly Shapiro,Gabriel Byrne",87.0,127.0,No Poster Available,Drama
80,MaXXXine,7.1,2024,R,Ti West,Ti West,66.9,103.0,No Poster Available,Crime
81,Exhuma,7.0,2024,R,Jang Jae-hyun,"Jang,Jae-hyun",66.0,116.3,No Poster Available,Horror
82,Shaitaan,6.7,2024,Not Rated,Vikas Bahl,"Aamil Keeyan,Khan Krishnadev,Yagnik",66.9,132.0,No Poster Available,Drama
83,Arcadian,5.5,2024,R,Benjamin Brewer,"Nicolas Cage,Jaeden Martell,Maxwell Jenkins",60.0,92.0,No Poster Available,Action
84,Barbarian,7.0,2022,R,Zach Cregger,"Georgina Campbell,Bill Skarsgård,Justin Long",78.0,102.0,No Poster Available,Horror
85,Immaculate,5.8,2024,R,Michael Mohan,"Sydney SweeneyÁlvaro,Morte Simona,Tabasco",57.0,89.0,No Poster Available,Horror
86,Tarot,4.9,2024,PG-13,Spenser Cohen,"Harriet Slater,Adain Bradley,Jacob Batalon",36.0,92.0,No Poster Available,Horror
87,I Saw the TV Glow,6.9,2024,PG-13,Jane Schoenbrun,"Justice Smith,Brigette,Lundy-Paine Ian,Foreman",84.0,100.0,No Poster Available,Drama
88,Late Night with the Devil,7.1,2023,R,Cameron Cairnes,"David Dastmalchian,Laura Gordon,Ian Bliss",72.0,93.0,No Poster Available,Horror
89,The Substance,8.0,2024,R,Coralie Fargeat,"Margaret Qualley,Demi Moore,Dennis Quaid",83.0,116.3,No Poster Available,Drama
90,The Strangers: Chapter 1,5.0,2024,R,Renny Harlin,"Madelaine Petsch,Ryan Bown,Matus Lajcak",43.0,91.0,No Poster Available,Horror
91,Alien,8.5,1979,R,Ridley Scott,"Dan,O'Bannon Ronald,Shusett",89.0,117.0,No Poster Available,Horror
92,A Quiet Place,7.5,2018,PG-13,John Krasinski,"Bryan Woods,Scott Beck,John Krasinski",82.0,90.0,No Poster Available,Drama
93,Deadpool 2,7.6,2018,R,David Leitch,"Rhett Reese,Paul Wernick,Ryan Reynolds",66.0,119.0,No Poster Available,Action
94,Avengers: Endgame,8.4,2019,PG-13,Anthony Russo,"Christopher Markus,Stephen Mc,Feely Stan,Lee",78.0,181.0,No Poster Available,Action
95,Spider-Man: Across the Spider-Verse,8.6,2023,PG,Joaquim Dos Santos,"Shameik Moore,Hailee Steinfeld,Brian Tyree,Henry",86.0,140.0,No Poster Available,Animation
96,Star Wars: Episode I - The Phantom Menace,6.5,1999,PG,George Lucas,"Ewan Mc,Gregor Liam,Neeson Natalie,Portman",51.0,136.0,No Poster Available,Action
97,Spider-Man: No Way Home,8.2,2021,PG-13,Jon Watts,"Chris Mc,Kenna Erik,Sommers Stan,Lee",71.0,148.0,No Poster Available,Action
98,Rebel Moon - Part Two: The Scargiver,5.2,2024,PG-13,Zack Snyder,"Zack Snyder,Kurt Johnstad,Shay Hatten",35.0,122.0,No Poster Available,Action
99,The Matrix,8.7,1999,R,Lana Wachowski,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",73.0,136.0,No Poster Available,Action
100,Blade Runner 2049,8.0,2017,R,Denis Villeneuve,"Hampton Fancher,Michael Green,Philip,K.,Dick",81.0,164.0,No Poster Available,Action
101,Jurassic Park,8.2,1993,PG-13,Steven Spielberg,"Michael Crichton,David Koepp",68.0,127.0,No Poster Available,Action
102,The Fifth Element,7.6,1997,PG-13,Luc Besson,"Luc Besson,Robert Mark,Kamen",52.0,126.0,No Poster Available,Action
103,The Hunger Games,7.2,2012,PG-13,Gary Ross,"Gary Ross,Suzanne Collins,Billy Ray",68.0,142.0,No Poster Available,Action
104,Godzilla vs. Kong,6.3,2021,PG-13,Adam Wingard,"Terry Rossio,Michael Dougherty,Zach Shields",59.0,113.0,No Poster Available,Action
105,Rebel Moon - Part One: A Child of Fire,5.6,2023,PG-13,Zack Snyder,"Zack Snyder,Kurt Johnstad,Shay Hatten",31.0,133.0,No Poster Available,Action
106,28 Days Later,7.5,2002,R,Danny Boyle,"Cillian Murphy,Naomie Harris,Christopher Eccleston",73.0,113.0,No Poster Available,Drama
107,Alien: Romulus,7.1,2024,R,Fede Alvarez,"Fede Alvarez,Rodo Sayagues,Dan,O'Bannon",66.9,116.3,No Poster Available,Horror
108,Inception,8.8,2010,PG-13,Christopher Nolan,"Leonardo Di,Caprio Joseph,Gordon-Levitt Elliot,Page",74.0,148.0,No Poster Available,Action
109,A Quiet Place: Day One,7.1,2024,R,Michael Sarnoski,"Michael Sarnoski,John Krasinski,Bryan Woods",66.9,116.3,No Poster Available,Drama
110,Mad Max Beyond Thunderdome,6.2,1985,PG-13,George Miller,"Terry Hayes,George Miller,Byron Kennedy",71.0,107.0,No Poster Available,Action
111,Interstellar,8.7,2014,PG-13,Christopher Nolan,"Matthew Mc,Conaughey Anne,Hathaway Jessica,Chastain",74.0,169.0,No Poster Available,Adventure
112,Her,8.0,2013,R,Spike Jonze,"Joaquin Phoenix,Amy Adams,Scarlett Johansson",91.0,126.0,No Poster Available,Drama
113,Godzilla Minus One,7.9,2023,PG-13,Takashi Yamazaki,"Ryunosuke Kamiki,Minami Hamabe,Sakura Andô",81.0,124.0,No Poster Available,Action
114,Dune,8.0,2021,PG-13,Denis Villeneuve,"Jon Spaihts,Denis Villeneuve,Eric Roth",74.0,155.0,No Poster Available,Action
115,Megalopolis,7.0,2024,R,Francis Ford Coppola,"Adam Driver,Giancarlo Esposito,Nathalie Emmanuel",58.0,116.3,No Poster Available,Drama
116,Dune: Part Two,8.6,2024,PG-13,Denis Villeneuve,"Timothée Chalamet,Zendaya Rebecca,Ferguson",79.0,166.0,No Poster Available,Action
117,Kingdom of the Planet of the Apes,7.2,2024,PG-13,Wes Ball,"Owen Teague,Freya Allan,Kevin Durand",66.0,145.0,No Poster Available,Action
118,Spider-Man: Into the Spider-Verse,8.4,2018,PG,Bob Persichetti,Shameik Moore,87.0,117.0,"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
119,The Incredibles,8.0,2004,PG,Brad Bird,"Craig,T.,Nelson",90.0,115.0,"https://m.media-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
120,Charlie and the Chocolate Factory,6.7,2005,PG,Tim Burton,Johnny Depp,72.0,115.0,"https://m.media-amazon.com/images/M/MV5BNjcxMjg1Njg2NF5BMl5BanBnXkFtZTcwMjQ4NzMzMw@@._V1_QL75_UY281_CR0,0,190,281_.jpg",Adventure
121,Harry Potter and the Chamber of Secrets,7.4,2002,PG,Chris Columbus,Daniel Radcliffe,63.0,161.0,"https://m.media-amazon.com/images/M/MV5BMjE0YjUzNDUtMjc5OS00MTU3LTgxMmUtODhkOThkMzdjNWI4XkEyXkFqcGdeQXVyMTA3MzQ4MTc0._V1_QL75_UY281_CR3,0,190,281_.jpg",Adventure
122,Shrek 2,7.3,2004,PG,Andrew Adamson,Mike Myers,75.0,93.0,"https://m.media-amazon.com/images/M/MV5BMDJhMGRjN2QtNDUxYy00NGM3LThjNGQtMmZiZTRhNjM4YzUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR0,0,190,281_.jpg",Animation
123,Minecraft,7.1,2025,R,Jared Hess,"Chris Bowman,Hubbel Palmer,Allison Schroeder",66.9,116.3,No Poster Available,Action
124,Willy Wonka & the Chocolate Factory,7.8,1971,G,Mel Stuart,Gene Wilder,67.0,100.0,"https://m.media-amazon.com/images/M/MV5BZTllNDU0ZTItYTYxMC00OTI4LThlNDAtZjNiNzdhMWZiYjNmXkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_QL75_UX190_CR0,0,190,281_.jpg",Adventure
125,The Sandlot,7.8,1993,PG,David Mickey Evans,Tom Guiry,55.0,101.0,"https://m.media-amazon.com/images/M/MV5BODllYjM1ODItYjBmOC00MzkwLWJmM2YtMjMyZDU3MGJhNjc4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",Comedy
126,Stardust,7.6,2007,PG-13,Matthew Vaughn,Charlie Cox,66.0,127.0,"https://m.media-amazon.com/images/M/MV5BMjkyMTE1OTYwNF5BMl5BanBnXkFtZTcwMDIxODYzMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Adventure
127,Elemental,7.0,2023,PG,Peter Sohn,Leah Lewis,58.0,101.0,"https://m.media-amazon.com/images/M/MV5BZjYxYWVjMDMtZGRjZS00ZDE4LTk0OWUtMjUyOTI4MmYxNjgwXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
128,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,2005,PG,Andrew Adamson,Tilda Swinton,75.0,143.0,"https://m.media-amazon.com/images/M/MV5BMTc0NTUwMTU5OV5BMl5BanBnXkFtZTcwNjAwNzQzMw@@._V1_QL75_UY281_CR0,0,190,281_.jpg",Adventure
129,Miss Peregrine's Home for Peculiar Children,6.7,2016,PG-13,Tim Burton,Eva Green,57.0,127.0,"https://m.media-amazon.com/images/M/MV5BMTU0Nzc5NzI5NV5BMl5BanBnXkFtZTgwNTk1MDE4MDI@._V1_QL75_UY281_CR17,0,190,281_.jpg",Adventure
130,Harry Potter and the Deathly Hallows: Part 2,8.1,2011,PG-13,David Yates,Daniel Radcliffe,85.0,130.0,"https://m.media-amazon.com/images/M/MV5BMGVmMWNiMDktYjQ0Mi00MWIxLTk0N2UtN2ZlYTdkN2IzNDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX190_CR0,2,190,281_.jpg",Adventure
131,Ratatouille,8.1,2007,G,Brad Bird,Brad Garrett,96.0,111.0,"https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
132,Harry Potter and the Prisoner of Azkaban,7.9,2004,PG,Alfonso Cuarón,Daniel Radcliffe,82.0,142.0,"https://m.media-amazon.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_QL75_UY281_CR0,0,190,281_.jpg",Adventure
133,The Wizard of Oz,8.1,1939,G,Victor Fleming,Judy Garland,92.0,102.0,"https://m.media-amazon.com/images/M/MV5BY2NjNDU1ZjctN2VhZi00Nzc5LTljNmItMTZiOTg1ODkwYjgwXkEyXkFqcGdeQXVyNTkxMzEwMzU@._V1_QL75_UX190_CR0,3,190,281_.jpg",Adventure
134,Moana,7.6,2016,PG,Ron Clements,Auli'i Cravalho,81.0,107.0,"https://m.media-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
135,Harold and the Purple Crayon,7.1,2024,PG,Carlos Saldanha,"Zachary Levi,Lil Rel,Howery Benjamin,Bottani",66.9,92.0,No Poster Available,Animation
136,Finding Nemo,8.2,2003,G,Andrew Stanton,Albert Brooks,90.0,100.0,"https://m.media-amazon.com/images/M/MV5BYWE0MzUzNDctNTFiYS00YzY3LWEzYWMtMDQyMWE5OTMxOTBiXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY281_CR1,0,190,281_.jpg",Animation
137,Sing 2,7.3,2021,PG,Garth Jennings,"Matthew Mc,Conaughey",49.0,110.0,"https://m.media-amazon.com/images/M/MV5BMWRiZGQ1NDMtODQ2OS00MDlhLWJkZGYtM2ZmNjlhZThjOWRmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,10,190,281_.jpg",Animation
138,Garfield: The Movie,5.0,2004,PG,Peter Hewitt,Breckin Meyer,27.0,80.0,"https://m.media-amazon.com/images/M/MV5BMTIzMTc1OTUxOV5BMl5BanBnXkFtZTYwNTMxODc3._V1_QL75_UY281_CR0,0,190,281_.jpg",Adventure
139,The Little Mermaid,7.2,2023,PG,Rob Marshall,Halle Bailey,59.0,135.0,"https://m.media-amazon.com/images/M/MV5BYTUxYjczMWUtYzlkZC00NTcwLWE3ODQtN2I2YTIxOTU0ZTljXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Adventure
140,Harry Potter and the Goblet of Fire,7.7,2005,PG-13,Mike Newell,Daniel Radcliffe,81.0,157.0,"https://m.media-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_QL75_UY281_CR0,0,190,281_.jpg",Adventure
